Inicio;Fin;IRI
589240;589260;2,5
589260;589280;2,6
589280;589300;2,3
589300;589320;3,2
589320;589340;2,7
589340;589360;2,1
589360;589380;2,1
589380;589400;2,0
589400;589420;2,2
589420;589440;2,0
589440;589460;1,9
589460;589480;2,6
589480;589500;2,4
589500;589520;3,5
589520;589540;3,1
589540;589560;2,8
589560;589580;2,9
589580;589600;3,1
589600;589620;2,8
589620;589640;2,9
589640;589660;3,4
589660;589680;3,3
589680;589700;3,3
589700;589720;2,7
589720;589740;2,3
589740;589760;2,4
589760;589780;2,0
589780;589800;2,2
589800;589820;2,5
589820;589840;2,6
589840;589860;3,4
589860;589880;2,0
589880;589900;3,0
589900;589920;2,8
589920;589940;3,0
589940;589960;3,6
589960;589980;2,9
589980;590000;3,4
590000;590020;3,5
590020;590040;3,2
590040;590060;2,7
590060;590080;2,5
590080;590100;2,4
590100;590120;2,9
590120;590140;2,8
590140;590160;2,7
590160;590180;2,6
590180;590200;2,6
590200;590220;2,9
590220;590240;3,6
590240;590260;4,0
590260;590280;4,8
590280;590300;3,6
590300;590320;3,5
590320;590340;3,1
590340;590360;2,4
590360;590380;1,9
590380;590400;2,6
590400;590420;2,9
590420;590440;2,8
590440;590460;2,9
590460;590480;3,3
590480;590500;2,6
590500;590520;2,0
590520;590540;2,4
590540;590560;2,3
590560;590580;2,0
590580;590600;2,1
590600;590620;3,0
590620;590640;3,3
590640;590660;3,6
590660;590680;3,0
590680;590700;2,5
590700;590720;2,2
590720;590740;2,2
590740;590760;3,0
590760;590780;2,6
590780;590800;2,9
590800;590820;3,1
590820;590840;2,8
590840;590860;2,3
590860;590880;2,2
590880;590900;2,3
590900;590920;2,1
590920;590940;2,7
590940;590960;2,6
590960;590980;3,6
590980;591000;3,7
591000;591020;3,4
591020;591040;2,9
591040;591060;3,0
591060;591080;2,9
591080;591100;3,2
591100;591120;3,2
591120;591140;3,2
591140;591160;3,5
591160;591180;3,4
591180;591200;3,6
591200;591220;3,5
591220;591240;3,2
591240;591260;3,0
591260;591280;2,9
591280;591300;4,8
591300;591320;3,7
591320;591340;3,7
591340;591360;2,6
591360;591380;2,4
591380;591400;3,0
591400;591420;3,6
591420;591440;3,6
591440;591460;3,5
591460;591480;3,5
591480;591500;2,7
591500;591520;2,6
591520;591540;2,3
591540;591560;2,2
591560;591580;2,5
591580;591600;2,3
591600;591620;2,4
591620;591640;2,6
591640;591660;2,4
591660;591680;2,5
591680;591700;3,1
591700;591720;3,2
591720;591740;3,4
591740;591760;4,1
591760;591780;3,1
591780;591800;2,0
591800;591820;1,9
591820;591840;1,7
591840;591860;1,9
591860;591880;2,5
591880;591900;2,5
591900;591920;3,0
591920;591940;2,5
591940;591960;1,9
591960;591980;2,0
591980;592000;1,9
592000;592020;2,3
592020;592040;3,0
592040;592060;3,5
592060;592080;3,0
592080;592100;2,1
592100;592120;2,0
592120;592140;1,8
592140;592160;1,6
592160;592180;1,5
592180;592200;1,7
592200;592220;2,0
592220;592240;2,3
592240;592260;3,4
592260;592280;3,5
592280;592300;2,8
592300;592320;2,2
592320;592340;2,0
592340;592360;2,5
592360;592380;2,3
592380;592400;2,6
592400;592420;2,1
592420;592440;2,2
592440;592460;2,5
592460;592480;2,4
592480;592500;1,9
592500;592520;1,9
592520;592540;1,9
592540;592560;2,2
592560;592580;2,5
592580;592600;2,6
592600;592620;2,2
592620;592640;2,3
592640;592660;2,3
592660;592680;2,4
592680;592700;2,3
592700;592720;2,5
592720;592740;2,9
592740;592760;2,7
592760;592780;2,3
